epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.33193278312683105,1.718875527381897,0.001,0.1833740770816803,1.76205313205719
1,0.3773634433746338,1.584326982498169,0.001,0.22860635817050934,1.6975600719451904
2,0.4206932783126831,1.4876585006713867,0.001,0.29095354676246643,1.773637056350708
3,0.4553571343421936,1.432987928390503,0.001,0.48899754881858826,1.4219874143600464
